work-id,format,doc,celex
1a1e8486-a474-11e9-9d01-01aa75ed71a1,xhtml,L_2019187EN.01004101.doc.html,32019D1194
5fa72f58-9564-4ebe-a5a5-853e206ae2ed,html,32000R0212en.html,32000R0212
65a9ddff-3e78-403b-ab34-98d7973be2b3,xhtml,L_2010117EN.01006001.doc.html,32010R0402
39bcdc85-2e3b-4e36-a488-5197ee502afd,html,31999Y0917_02_en.html,31999Y0917(02)
a4d26b15-882d-11e9-9369-01aa75ed71a1,xhtml,L_2019148EN.01000101.doc.html,32019R0921
6048f5e3-3649-4cf3-98af-31346a57a6bf,xhtml,L_2008338EN.01005501.doc.html,32008D0952
20689fab-dca7-4d06-8929-bff85013eec0,xhtml,L_2009071EN.01001301.doc.html,32009R0204
9aabcb1b-76b8-46bd-accb-45ca452a003b,html,31989D0196en.html,31989D0196
86912760-c241-11e4-bbe1-01aa75ed71a1,xhtml,L_2015060EN.01004801.doc.html,32015D0347
6f2a584d-0b00-468a-93b2-b1b6faa9bf99,html,32003M3297en.html,32003M3297
c3a578f6-0b9e-45f2-b994-4caa5b25cefa,html,32000Y0721_01_en.html,32000Y0721(01)
b58832ee-31f1-11e6-b497-01aa75ed71a1,xhtml,L_2016155EN.01001001.doc.html,32016R0932
594755e8-0d1a-11eb-bc07-01aa75ed71a1,xhtml,L_2020334EN.01000201.doc.html,32020R1470
8fc4ebc3-a014-11ec-83e1-01aa75ed71a1,xhtml,L_2022083EN.01006601.doc.html,32019R1009R(08)
acef55ee-2b68-11e9-8d04-01aa75ed71a1,xhtml,L_2019037EN.01014401.doc.html,32019D0236
c718b2af-da04-456e-be0b-d415594fee7d,xhtml,C_2010106EN.01005101.doc.html,32010H0424(03)
b985614e-9d78-456f-9436-671e626bcc03,xhtml,ENG_m8625.html,32017M8625
c25825b9-59ca-11e4-a0cb-01aa75ed71a1,xhtml,L_2014303EN.01000101.doc.html,32014R1117
481342cd-1747-11ea-8c1f-01aa75ed71a1,xhtml,L_2019314EN.01017001.doc.html,32019D2036
b9564ba9-d223-4f1e-a5ee-a0e91cea7512,html,31964R0182en.html,31964R0182
79689c49-1d1e-11e3-8d1c-01aa75ed71a1,xhtml,L_2013245EN.01002501.doc.html,32013D0456
f036ebe7-068e-42e1-8aa2-c6392f2cd2ac,xhtml,L_2006261EN.01002601.doc.html,32006D0635
4c059916-7c4b-11ed-9887-01aa75ed71a1,xhtml,L_2022321EN.01002201.doc.html,32022D2460
9f8be269-624e-11ee-9220-01aa75ed71a1,xhtml,L_202302385EN.html,32023D2385
43898e4b-ec14-11e9-9c4e-01aa75ed71a1,xhtml,L_2019260EN.01006901.doc.html,32019D1672R(01)
b6d50f11-f4ed-4514-bf7b-d62edc5b6fa2,xhtml,C_2010121EN.01000101.doc.html,32010M5745
7f51a91a-9516-11ec-b4e4-01aa75ed71a1,xhtml,L_2022043EN.01005401.doc.html,32022L0283
9bd4d79a-9763-49e0-8698-2af15584b9f2,xhtml,L_1984166EN.01000101.doc.html,31984R1763
9bd4d79a-9763-49e0-8698-2af15584b9f2,html,31984R1763en.html,31984R1763
077ca41b-5b27-4887-9f69-2d545c86b7c2,html,32001D0079en.html,32001D0079
6a1dc264-54cd-4c22-bc04-703cef997b29,html,31998M1053en.html,31998M1053
2b96c6eb-31f2-4e55-beb7-c6c74ca754ba,xhtml,L_2010211EN.01002001.doc.html,32010D0440
420f1075-0eac-11ec-b771-01aa75ed71a1,xhtml,L_2021313EN.01000401.doc.html,32021R1445
