work-id,celex
006c3de3-4179-4823-94ad-965150f347d0,31977R0231
006d7d85-9561-11e5-983e-01aa75ed71a1,32015D2194
006f4fef-a954-11e5-b528-01aa75ed71a1,32015D2367
00700dbe-b007-11e3-86f9-01aa75ed71a1,32014R0249
007414ed-7213-11e4-b593-01aa75ed71a1,32014D0827
0074ebe9-8e59-11ee-8aa6-01aa75ed71a1,32023R2644
007506a2-d457-11e4-9de8-01aa75ed71a1,32015R0477
0076197e-8b31-42db-ba91-dfd3057a0895,32011D0304
0079d592-7b83-11ed-9887-01aa75ed71a1,32022R2448
007b2e62-ac2a-4261-a0a6-78a8cfcc4550,32010D0205
007b4aa3-21db-4694-8bb6-12c785e75c3c,32007M4619
007d8937-90e4-4de7-af29-6a8c2de0c202,31991D0314R(01)
007df460-deb3-41d3-b908-b08c261a2240,32005D0441
007e7e08-b396-40a7-b3ee-30c2912b85b2,31989L0656R(01)
007eb3ae-9890-11ee-b164-01aa75ed71a1,32023D01464
007ec523-f8ad-11ea-991b-01aa75ed71a1,32020R1294
007fa6de-9beb-4b82-9934-ed7ee02aacb5,32012R0673
007ff2d1-435c-11ec-89db-01aa75ed71a1,32021D1966
0081b8af-e354-11e9-9c4e-01aa75ed71a1,32019D1608
0081b8ba-6944-11e2-9294-01aa75ed71a1,32006R1107R(01)
00822ef2-1756-11eb-b57e-01aa75ed71a1,32020R1546
0082496c-249b-11e9-8d04-01aa75ed71a1,32018M9139
00826b99-9d47-11ee-b164-01aa75ed71a1,32023D2815
0082e58c-5581-11e7-a5ca-01aa75ed71a1,32017D1087
00864e4e-cc6c-11ee-b9d9-01aa75ed71a1,32024R0574
0086b719-09e3-11f0-b1a3-01aa75ed71a1,32020R0692R(09)
0086cbcf-c3cd-11ee-95d9-01aa75ed71a1,32024D0442
00894d20-b1c2-402f-9dd5-17a019bd0703,32011R1097
008a44b9-990f-11e7-b92d-01aa75ed71a1,32017R1542
008ad66c-584a-4551-97ed-98f6d46946cb,32011D0089
008c72cb-ea0e-11ee-bf53-01aa75ed71a1,32024M11439
008caecb-691e-4e46-b0fd-68a80950de97,31976D0431
008f47bd-b479-4b4f-99a4-7398f8ac61ea,32011M6130
00903c15-524b-11ec-91ac-01aa75ed71a1,32021R2103
0090561e-e1d9-11e5-8a50-01aa75ed71a1,32016D0288
009056f0-08f1-47f7-b313-83f52de1a862,31980D0050
0090d402-a411-11e7-9ca9-01aa75ed71a1,32017R1017R(01)
00937e70-768a-11e7-b2f2-01aa75ed71a1,32017R1405
0093f361-5cc7-11e3-914b-01aa75ed71a1,32013R1241
00985858-488c-11ef-acbc-01aa75ed71a1,32024R2028
00986b43-a30b-4321-8a13-cab893953c61,32008D0793
00987c21-f4ac-11ef-b7db-01aa75ed71a1,32024O2941R(01)
00994d73-33a2-11ef-b441-01aa75ed71a1,32024D1806
009c0873-e3cd-11ed-a05c-01aa75ed71a1,32023R0860
009ea573-cf37-11eb-ac72-01aa75ed71a1,32015R2446R(08)
009f39ff-c43d-4d8d-8351-a6ab3a4cdfc2,32006M4386
009f674a-76dc-11e9-9f05-01aa75ed71a1,32019D0767
00a0cef4-81d1-11ed-9887-01aa75ed71a1,32022R2535
00a1e9c0-2d21-499f-8df0-3e945314cbc4,32003R1724
00a24da7-df48-11ee-b9d9-01aa75ed71a1,32024R0819
00a255cf-dac1-11e5-8fea-01aa75ed71a1,32016D0253
00a26e7c-d798-11ee-b9d9-01aa75ed71a1,32024R0764
00a31faf-c936-4607-aff2-b3329769b263,32005M3726
00a4a21c-c3cb-11ed-a05c-01aa75ed71a1,32018R1654R(01)
00a4ef6f-ae51-4e6e-b520-b6ffd5db5012,32006D0957
00a500b1-4239-43c9-a4cf-9eda6368a489,31995R1484R(02)
00a5c346-9611-11e2-ab01-01aa75ed71a1,32012D0249R(01)
00a65dec-f9e5-4cb2-a7f6-02b3872cbc8d,31994D0968
00a6ac8d-5e01-11e6-9b08-01aa75ed71a1,32015R0647R(02)
00a9f31b-31c5-11ee-946a-01aa75ed71a1,32023R1542R(01)
00aa0f08-3179-4db9-8116-cf4a6148af6a,32006M4358
00abbeb9-0b84-423f-8daa-799b0e3c549a,31980D1040
00abd566-7241-11e5-9317-01aa75ed71a1,32013R1258R(02)
00ac548f-fadf-4f07-9c80-2071de433250,32009R0988
00ace924-fb5f-11ed-a05c-01aa75ed71a1,32023R1031
00ad63f4-2949-11f0-8a44-01aa75ed71a1,32025R0870
00aec4fa-39dd-11e9-8d04-01aa75ed71a1,32019M9236
00aef175-f516-11e7-be11-01aa75ed71a1,32018R0012
00b01f06-f5a5-11e6-8a35-01aa75ed71a1,32017R0285
00b1d740-6b19-11e9-9f05-01aa75ed71a1,32019R0676
00b37c57-7d27-11e9-9f05-01aa75ed71a1,32019R0831
00b6c07d-dd59-11e1-905c-01aa75ed71a1,32012R0708
00b87edb-ea44-11ed-a05c-01aa75ed71a1,32007R0715R(04)
00b977a8-07c6-11e2-8e28-01aa75ed71a1,32012R0875
00bd65a7-6587-11e4-9cbe-01aa75ed71a1,32009L0052R(03)
00bdc9b3-2a8f-44a3-b551-c34f7f447464,32013D0086
00be2bec-3e79-11eb-b27b-01aa75ed71a1,32020D2059
00c00aaa-dec7-497c-98b8-a2ea3912e01e,32011D0189
00c39094-2fa6-4ce3-bcce-2303a9b12a34,32004M3412
00ca9ec4-f973-47bd-bee7-9bfd11d9495f,32007D0220
00cb7289-0f91-4322-b1a4-f27969cb95f0,32014L0059R(03)
00cc1c74-c8be-11eb-84ce-01aa75ed71a1,32020R1560R(01)
00cf10f6-de56-11e2-9165-01aa75ed71a1,32013R0599
00d0d644-0e7f-4930-ab42-c9f96a685c3f,32008D0090
00d0e33d-423a-11ee-8548-01aa75ed71a1,32023R1653
00d1dabe-877e-11e5-b8b7-01aa75ed71a1,32015R1970
00d261b5-fa5b-11ef-b7db-01aa75ed71a1,32025M11845
00d3d7b3-f6f2-4daa-8f1c-d2f824e78000,32008D0935
00d48419-8d27-4c04-9bc2-8a542956a90e,31976D0221
00d673cb-c327-4526-9245-3254c0d0424a,32008L0098R(02)
00d91ac1-f779-4288-a32f-62c214670609,32005D0919
00d9c256-d937-4d7f-a631-96511cec926a,32010L0075R(02)
00dad29b-a8c6-4e1b-835b-cb7988447b50,32012D0270
00dd7b71-9694-11e6-a9e2-01aa75ed71a1,32016D1858
00e007f5-973f-4031-bd3e-f19af091e545,32004L0107R(01)
00e0c992-782e-4d49-a427-e25e569eccaa,32008E0379
00e1d89f-cae0-11ee-95d9-01aa75ed71a1,32024R0569
00e2b40a-9d47-11ee-b164-01aa75ed71a1,32023D2806
00e338e7-3ccc-11ee-aaec-01aa75ed71a1,32023D1217R(01)
00e49278-fd52-11ef-b7db-01aa75ed71a1,32019R1021R(03)
00e55816-7c88-4a1f-a24e-10031095d617,32004D0344
00e5ffc4-8b18-4552-b80a-1565cd26511c,32010D0466
00e7486b-7c44-44b9-9bfc-c336167ff802,32007R1243
00e78d49-8ccd-11e9-9369-01aa75ed71a1,32019R0955
00e7f09c-91a0-11ef-a130-01aa75ed71a1,32023D1217R(02)
00e7ffec-49e3-492b-8e8e-8839cae806bc,32007H0078
00e80694-b320-4304-840c-876c8fe1586a,32002D0286
00e92092-445f-11e8-a9f4-01aa75ed71a1,32016R0918R(02)
00ea9dd9-7ffc-4e4c-9786-0af37ec98697,32007M4764
00eb1512-dd12-11ee-b9d9-01aa75ed71a1,32024D0789
00ec8bab-27a6-11ed-8fa0-01aa75ed71a1,32022M10341
00edd5ed-cc41-11ec-b6f4-01aa75ed71a1,32018L0645R(03)
00ef7b4c-2146-11e5-a342-01aa75ed71a1,32015R1061
00ef8eda-c1ab-11eb-a925-01aa75ed71a1,32021D0873
00efc9a7-c694-45d2-8e72-629de42fa83b,32006D0376
00efefe6-572b-11f0-a9d0-01aa75ed71a1,32025M12024
00f02dd0-5e01-11ea-b735-01aa75ed71a1,32019R1793R(02)
00f42636-c0ce-4bc7-97bb-f391a1f9fe16,31985S3699
00f4f787-e55e-11e7-9749-01aa75ed71a1,32017R2358
00f728b7-42f6-44c1-ad74-14af09c291f9,31982D0685
00f82370-bfd9-4054-bb8f-935f978ed94c,32008M5397
00f8e08e-7ddb-41f1-92c0-f2639511bd03,32003D0133
00f9bc2d-926a-11ef-a130-01aa75ed71a1,32024R2725
00fb1313-3eb1-11eb-b27b-01aa75ed71a1,32020R2084
00fba03d-b0c1-11ec-83e1-01aa75ed71a1,32005D0671R(01)
00fe5f08-476c-11e7-aea8-01aa75ed71a1,32017R0940
00ff8bf6-7c51-11e4-97c9-01aa75ed71a1,32010D0594R(01)
010020a1-cb7e-11e3-b74e-01aa75ed71a1,32014R0406
0102d2a0-6312-11e3-ab0f-01aa75ed71a1,32013D0745
01031b3c-f395-11ec-a534-01aa75ed71a1,32022D0984
01041b14-7dc0-4e49-b413-406ba7f57916,32011Q0712(01)
0105347e-df41-11ed-a05c-01aa75ed71a1,32012R0965R(17)
01056449-ebd2-11e8-b690-01aa75ed71a1,32018D1782
0106c36b-4622-4e5c-8b78-85d926c61e35,32000D0098
01090ee7-d452-4850-be81-e3fb9745c8b2,31992Y0723(02)
0109a10f-9621-11ef-a130-01aa75ed71a1,32024R2754
010a1d53-13f1-11ee-806b-01aa75ed71a1,32023R1222
01122411-0abf-11ec-adb1-01aa75ed71a1,32021R1423
