work-id,celex-expr-id,celex-man-id,celex-cs-id,suffix,mtd
c608867d-5d31-4e8c-814f-450bfee6050c,ENG,html,32002M2829en.html,html,tree_non_inferred.rdf
d17a25c4-18e6-11eb-b57e-01aa75ed71a1,ENG,xhtml,L_2020358EN.01003001.doc.html,html,tree_non_inferred.rdf
c75795c3-aaed-41af-aec8-3431038988e3,ENG,html,32011M6218en.html,html,tree_non_inferred.rdf
bc622740-9bd1-11e9-9d01-01aa75ed71a1,ENG,xhtml,L_2019176EN.01000501.doc.html,html,tree_non_inferred.rdf
23d8e5e4-7f15-4198-8fb5-b23991e735d2,ENG,html,32011M6347en.html,html,tree_non_inferred.rdf
5d0a6a78-cdcd-4555-967f-ca07c2fdcc8a,ENG,html,32000M2172en.html,html,tree_non_inferred.rdf
eb32e731-6a59-4d7f-b186-f5852c53df34,ENG,html,31997D0680en.html,html,tree_non_inferred.rdf
732cd105-4330-11eb-b27b-01aa75ed71a1,ENG,xhtml,L_2020431EN.01004801.doc.html,html,tree_non_inferred.rdf
7dd0b0a1-4e0b-11ef-acbc-01aa75ed71a1,ENG,xhtml,L_202402044EN.html,html,tree_non_inferred.rdf
9a7f7d64-d173-11e7-a5b9-01aa75ed71a1,ENG,xhtml,L_2017310EN.01004701.doc.html,html,tree_non_inferred.rdf
c79a9719-da76-11e3-8cd4-01aa75ed71a1,ENG,xhtml,L_2014138EN.01004501.doc.html,html,tree_non_inferred.rdf
56f2e7ad-9fd8-11e5-8781-01aa75ed71a1,ENG,xhtml,L_2015326EN.01005601.doc.html,html,tree_non_inferred.rdf
b620ec50-afcf-4e5c-8eed-ff2a0935c64e,ENG,xhtml,L_1988358EN.01001601.doc.html,html,tree_non_inferred.rdf
b620ec50-afcf-4e5c-8eed-ff2a0935c64e,ENG,html,31988D0647en.html,html,tree_non_inferred.rdf
d2021ff6-97c7-4451-8ac2-90121b4ce9c5,ENG,xhtml,L_2008328EN.01004901.doc.html,html,tree_non_inferred.rdf
f735017c-7250-4378-8287-24f779e63dda,ENG,html,31989D0358en.html,html,tree_non_inferred.rdf
7eb38c87-9a3e-4a90-9270-c22bc3eae22c,ENG,html,31991D0532en.html,html,tree_non_inferred.rdf
73239d3d-da07-4cdc-8120-36c970fb7d0e,ENG,html,31998J0002en.html,html,tree_non_inferred.rdf
9f8fb2c4-f5ff-49a3-8dcb-622a363f0238,ENG,html,31998M1257en.html,html,tree_non_inferred.rdf
a90d139d-dc98-47ba-8cd6-d094bd7b2aca,ENG,xhtml,C_2008031EN.01000201.doc.html,html,tree_non_inferred.rdf
